"Sigla","Dados da contratação","Vl Global","Inicio Vigência","Fim Vigência","Download"
"26º BPM","Contratada: E DA SILVA E SOUSA TEIXEIRA COMERCIO                                                                                                                   Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de empresa para fornecimento de material de higiene e limpeza, para manutenção das condições sanitárias necessárias para o bom desempenho das atividades administrativas do 26º BPM                                                          Processo/Ano: 108784/2021/2021                                                          Contrato/Ano: 2021NE000033/2021                                                          Dt. Assinatura: 27/09/2021","15.429,50","27/09/2021","31/12/2021","Detalhar                                                                                                                                                                                                                PDF"
"26º BPM","Contratada: ATTUAL COMERCIO E CONSULTORIA CONTABIL LTDA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de empresa especializada em assessoria e consultoria contábil para prestação de serviços diversos de natureza contábil e fiscal.                                                          Processo/Ano: 0078727/2021                                                          Contrato/Ano: 0078727/2021                                                          Dt. Assinatura: 23/08/2021","3.500,00","23/08/2021","31/12/2021","Detalhar                                                                                                                                                                                                                PDF"
"26º BPM","Contratada: BAZAR BANDEIRANTES LTDA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de empresa para o fornecimento de material de expediente para o 26º BPM para o ano de 2021                                                          Processo/Ano: 085901/2021/2021                                                          Contrato/Ano: 085901/2021/2021                                                          Dt. Assinatura: 20/08/2021","12.072,70","20/08/2021","31/12/2021","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: VERGE COMERCIO LTDA                                                                                                                                    Tipo de Contratação: DISPENSA                                                          Objeto: MATERIAL DE EXPEDIENTE                                                          Processo/Ano: 0103144/2021                                                          Contrato/Ano: 2021NE000036/2021                                                          Dt. Assinatura: 22/07/2021","1.637,30","20/07/2021","31/12/2021","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: PURINUTRE COMERCIO E REPRESENTACOES LTDA                                                                                                               Tipo de Contratação: DISPENSA                                                          Objeto: AQUISIÇÃO DE MEDICAMENTOS DE USO VETERINÁRIO.                                                          Processo/Ano: 0006550/2021/2021                                                          Contrato/Ano: 2021NE000037/2021                                                          Dt. Assinatura: 30/07/2021","16.701,77","28/07/2021","31/12/2021","Detalhar                                                                                                                                                                                                                PDF"
"2º EPM","Contratada: Hallana Christina Sousa Ribeiro                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto:  Contratação de empresa para aquisição e fornecimento de alimentação animal (Feno do tipo “A” produzido com capim Cynodon)                                                          Processo/Ano: 0216138/2021                                                          Contrato/Ano: 001/2022                                                          Dt. Assinatura: 14/03/2022                                                                                                                                                                              Fiscal:                                                          RAIMUNDO SILVA LIMA","175.000,00","14/03/2022","30/06/2022","Detalhar                                                                                                                                                                                                                PDF"
"30º BPM","Contratada: CIRCUITO ABERTO ELETRONICA LTDA                                                                                                                        Tipo de Contratação: DISPENSA                                                          Objeto: Aquisição de material de informática para suprir as necessidades das atividades administrativas do 30º Batalhão de Polícia Militar do Maranhão, para o ano 2021.                                                          Processo/Ano: 0151006/2021                                                          Contrato/Ano: 2021NE000038/2021                                                          Dt. Assinatura: 10/11/2021","2.534,00","12/11/2021","31/12/2021","Detalhar                                                                                                                                                                                                                PDF"
"30º BPM","Contratada: E DA SILVA E SOUSA TEIXEIRA COMERCIO                                                                                                                   Tipo de Contratação: DISPENSA                                                          Objeto: Aquisição de gêneros de alimentação para produção de refeições, com escopo de serem servidas diariamente aos policiais militares no refeitório do 30º Batalhão de Polícia Militar do Maranhão, para o ano 2021.                                                          Processo/Ano: 0151080/2021                                                          Contrato/Ano: 2021NE000042/2021                                                          Dt. Assinatura: 16/11/2021","17.581,00","18/11/2021","31/12/2021","Detalhar                                                                                                                                                                                                                PDF"
"30º BPM","Contratada: E DA SILVA E SOUSA TEIXEIRA COMERCIO                                                                                                                   Tipo de Contratação: DISPENSA                                                          Objeto: Aquisição de material de limpeza e higienização para suprir as necessidades do 30º Batalhão de Polícia Militar do Maranhão, para o ano 2021.                                                          Processo/Ano: 0151077/2021                                                          Contrato/Ano: 2021NE000043/2021                                                          Dt. Assinatura: 16/11/2021","4.081,49","18/11/2021","31/12/2021","Detalhar                                                                                                                                                                                                                PDF"
"30º BPM","Contratada: GLENDA RIBEIRO DE AGUIAR CANDIDO 05405660396                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Aquisição de material de expediente para suprir as necessidades das atividades administrativas do 30º Batalhão de Polícia Militar do Maranhão, para o ano 2021.                                                          Processo/Ano: 0151068/2021                                                          Contrato/Ano: 2021NE000039/2021                                                          Dt. Assinatura: 10/11/2021","5.555,27","12/11/2021","31/12/2021","Detalhar                                                                                                                                                                                                                PDF"
"31º BPM","Contratada: ESTRUTURA CONTÁBIL LTDA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: SERVIÇOS TÉCNICOS PROFISSIONAIS ESPECIALIZADOS                                                          Processo/Ano: 0130969/2021                                                          Contrato/Ano: 002/2021                                                          Dt. Assinatura: 14/10/2021                                                                                                                                                                              Fiscal:                                                          ALONSO CARNEIRO FREITAS","3.500,00","20/10/2021","20/10/2022","Detalhar                                                                                                                                                                                                                PDF"
"31º BPM","Contratada: M H DO NASCIMENTO DOURINHA                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: SERVIÇOS DE FORNECIMENTO DE ALIMENTAÇÃO                                                          Processo/Ano: 0129813/2021                                                          Contrato/Ano: 001/2021                                                          Dt. Assinatura: 08/10/2021                                                                                                                                                                              Fiscal:                                                          ALONSO CARNEIRO FREITAS","24.988,90","14/10/2021","31/12/2021","Detalhar                                                                                                                                                                                                                PDF"
"31º BPM","Contratada: LUIZ ALBERTO AFFONSO FERREIRA PAIVA FILHO                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: ÁGUA MINERAL                                                          Processo/Ano: 0143322/2021                                                          Contrato/Ano: 003/2021                                                          Dt. Assinatura: 14/10/2021                                                                                                                                                                              Fiscal:                                                          ALONSO CARNEIRO FREITAS","5.000,00","20/10/2021","31/12/2021","Detalhar                                                                                                                                                                                                                PDF"
