"Sigla","Dados da contratação","Vl Global","Inicio Vigência","Fim Vigência","Download"
"AGED","Contratada: BIOLOGISTICA SOLU«AO EM LOG. E SERVI«OA LTDA                                                                                                           Tipo de Contratação: LICITAÇÃO                                                          Objeto: Transporte aéreo de amostras biologicas                                                          Processo/Ano: 110959/2019                                                          Contrato/Ano: 19/2019                                                          Dt. Assinatura: 25/09/2019","12.062,25","25/09/2019","10/12/2019","Detalhar                                                                                                                                                                                                                PDF                                                                                                                                                                                                                                                                                                                                 Aditivos                                                                                                                                                                                                                                                                                          Fechar"
"AGED","Contratada: BIOLOGISTICA SOLU«AO EM LOG. E SERVI«OA LTDA                                                                                                           Tipo de Contratação: LICITAÇÃO                                                          Objeto: TRANSPORTE AÉREO DE AMOSTRAS BIOLÓGICAS                                                          Processo/Ano: 203845/2019                                                          Contrato/Ano: 002/2021                                                          Dt. Assinatura: 18/03/2021","44.400,90","18/03/2021","18/03/2022","Detalhar                                                                                                                                                                                                                PDF                                                                                                                                                                                                                                                                                                                                 Aditivos                                                                                                                                                                                                                                                                                          Fechar"
"AGED","Contratada: C & S VIGILÂNCIA E SEGURANÇA PATRIMONIAL EIRELI                                                                                                          Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Serviço de vigilância armada                                                          Processo/Ano: 223470/2019                                                          Contrato/Ano: 59/2019                                                          Dt. Assinatura: 27/12/2019","184.715,52","27/12/2019","27/12/2020","Detalhar                                                                                                                                                                                                                PDF                                                                                                                                                                                                                                                                                                                                 Aditivos                                                                                                                                                                                                                                                                                          Fechar"
"AGENCIA EST.DE TRANSPORTE E MOBILIDADE URBANA","Contratada: SIND DAS EMPRESAS TRANSP E PASSAGEIROS                                                                                                                 Tipo de Contratação: INEXIBILIDADE                                                          Objeto: CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇO NO FORNECIMENTO DE VALE-TRANSPORTE ELETRÔNICO AOS BENEFICIÁRIOS DO NOTA LEGAL.                                                          Processo/Ano: 63196/2019                                                          Contrato/Ano: 004/2019                                                          Dt. Assinatura: 15/04/2019","937.828,80","15/04/2019","15/04/2020","Detalhar                                                                                                                                                                                                                PDF"
"AGENCIA EST.DE TRANSPORTE E MOBILIDADE URBANA","Contratada: CARAVELAS TURISMO LTDA                                                                                                                                 Tipo de Contratação: LICITAÇÃO                                                          Objeto: contratação de empresa especializada para prestação de serviço de agenciamento de viagens e serviços correlatos compreendendo os serviços de informações sobre as opções de voos, emissão, reserva, marcação, remarcação, e cancelamento de passagem aérea nacional e internacional, para Agência Estadual de Mobilidade Urbana e Serviços Públicos – MOB                                                          Processo/Ano: 7819/2019                                                          Contrato/Ano: 005/2019                                                          Dt. Assinatura: 22/05/2019","110.000,00","22/05/2019","22/05/2020","Detalhar                                                                                                                                                                                                                PDF"
"AGENCIA EST.DE TRANSPORTE E MOBILIDADE URBANA","Contratada: L H DURANS PINHEIRO ME                                                                                                                                    Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Aquisição de Água mineral potável sem gás, em copo de 200 ml sem gás- caixa com 48 copos e badeja de garrafas pet descartáveis de 330 ml.                                                          Processo/Ano: 148162/2019                                                          Contrato/Ano: 011/2019                                                          Dt. Assinatura: 18/10/2019","8.314,00","18/10/2019","18/10/2020","Detalhar                                                                                                                                                                                                                PDF"
"AGENCIA EST.DE TRANSPORTE E MOBILIDADE URBANA","Contratada: L H DURANS PINHEIRO ME                                                                                                                                    Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Aquisição de água mineral potável sem gás. acondicionada em garrafão de policarbonato com capacidade para 20(vinte) litros,com lacre de segurança na tampa e involucro. ÁGUA MINERAL GARRAFÃO 20L- ÁGUA MINERAL DA FONTE SEM GÁS,                                                          Processo/Ano: 235173/2019                                                          Contrato/Ano: 17/2019                                                          Dt. Assinatura: 19/12/2019","3.800,00","19/12/2019","19/12/2020","Detalhar                                                                                                                                                                                                                PDF"
"AGENCIA EST.DE TRANSPORTE E MOBILIDADE URBANA","Contratada: ELEVADORES HEXCEL LTDA - EPP                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação do conserto do elevador instalado na sede da mob com fornecimento de peças: 01 - BARREIRA ELETRÔNICA COMPLETA 02- TRANSFORMADOR OPERADOR DE PORTA AT120 230V 2,5 50/60HZ 17,3V DC/3,5A 03-MODULO OPERADOR DE PORTA VVVF4+                                                          Processo/Ano: 231012/2019                                                          Contrato/Ano: 16/2019                                                          Dt. Assinatura: 20/12/2019","4.997,45","20/12/2019","20/12/2020","Detalhar                                                                                                                                                                                                                PDF"
"AGENCIA EST.DE TRANSPORTE E MOBILIDADE URBANA","Contratada: VIP DISTRIBUIÇÃO E LOGISTICA EIRELLI                                                                                                          Tipo de Contratação: ADESÃO À ATA DE REGISTRO DE PREÇO                                                          Objeto: Aquisição de Material Expediente. Papel silfite formato A4 (210x297) mm75g/m² alcalino, resma com 500 folhas.                                                          Processo/Ano: 152754/2019                                                          Contrato/Ano: 009/2019                                                          Dt. Assinatura: 29/08/2019","16.540,00","29/08/2019","31/12/2019","Detalhar                                                                                                                                                                                                                PDF"
"AGENCIA EST.DE TRANSPORTE E MOBILIDADE URBANA","Contratada: ARAUJO TRANSPORTE E TURISMO LTDA                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: Contratação de empresa especializada em locação de veículo automotor tipo Van utilitário com motorista e com combustível, através de contrato por km rodado, destinados ao atendimento das necessidades da Agência Estadual de Mobilidade Urbana e Serviços Públicos – MOB do Programa De Transporte Saúde, com a implantação na cidade de Matões do Norte e atenderá também cidades com sede localizada até 200 quilômetros de distância de Matões do Norte – MA, terá abrangência nos seguintes municípios: Arari, Cantanhede, Itapecuru Mirim, matões, Miranda do Norte, Nina Rodrigues, Presidente Vagas, São Benedito do Rio Preto, Urbano Santos, Vargem Grande, Vitoria do Mearim                                                          Processo/Ano: 174033/2019                                                          Contrato/Ano: 002/2020                                                          Dt. Assinatura: 14/01/2020","860.400,00","14/01/2020","14/01/2021","Detalhar                                                                                                                                                                                                                PDF                                                                                                                                                                                                                                                                                                                                 Aditivos                                                                                                                                                                                                                                                                                          Fechar"
"AGENCIA EST.DE TRANSPORTE E MOBILIDADE URBANA","Contratada: ARAUJO TRANSPORTE E TURISMO LTDA                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: Contratação de empresa especializada em Locação de Van Adaptada para utilização no serviço de Transporte Público Especial, não oneroso, para pessoas usuárias de cadeiras de rodas e deficientes visuais na cidade de Codó, denominado Travessia.                                                          Processo/Ano: 65885/2019                                                          Contrato/Ano: 007/2019                                                          Dt. Assinatura: 02/08/2019","431.499,84","02/08/2019","02/08/2021","Detalhar                                                                                                                                                                                                                PDF"
"AGENCIA EST.DE TRANSPORTE E MOBILIDADE URBANA","Contratada: BARRADAS & QUEIROZ GUARDA E TRANSPORTE DE VEÍCULOS LTDA                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: Contratação de empresa especializada para prestação de serviços de remoção e guarda de veículos apreendidos ou removidos, preparação e organização de Leilões Públicos por Leiloeiro Oficial, com estrutura de transporte e disponibilidade de pátios destinados a guarda e realização de leilões públicos de veículos automotores apreendidos e removidos no Estado do Maranhão.                                                          Processo/Ano: 40527/2019                                                          Contrato/Ano: 006/2019                                                          Dt. Assinatura: 26/08/2019","0,01","26/08/2019","26/08/2020","Detalhar                                                                                                                                                                                                                PDF"
"CAEMA","Contratada: CAIXA ECONOMICA FEDERAL                                                                                                                                Tipo de Contratação: INEXIBILIDADE                                                          Objeto: Serviço de recebimento de faturas de água e esgotamento sanitário, através de sistema informatizado, bem como, o depósito dos valores arrecadados na fatura bancária da CAEMA,                                                           Processo/Ano: 7490/2019                                                          Contrato/Ano: 001/2020                                                          Dt. Assinatura: 22/01/2020                                                                                                                                                                              Fiscal:                                                          THAYS COIMBRA BORGNETH DOURADO","0,01","22/01/2020","21/01/2021","Detalhar                                                                                                                                                                                                                PDF                                                                                                                                                                                                                                                                                                                                 Aditivos                                                                                                                                                                                                                                                                                          Fechar"
"CAEMA","Contratada: LOCADORA SAO LUIS LTDA                                                                                                                                 Tipo de Contratação: LICITAÇÃO                                                          Objeto: Serviços de locação de  veículos Pick Up leves.                                                           Processo/Ano: 5007/2019                                                          Contrato/Ano: 092/2019                                                          Dt. Assinatura: 07/10/2019","327.600,00","16/10/2019","15/10/2020","Detalhar                                                                                                                                                                                                                PDF                                                                                                                                                                                                                                                                                                                                 Aditivos                                                                                                                                                                                                                                                                                          Fechar"
