"Sigla","Dados da contratação","Vl Global","Inicio Vigência","Fim Vigência","Download"
"AGED","Contratada: HENRY EQUIPAMENTOS ELETRONICOS E SIST.LTDA                                                                                                             Tipo de Contratação: LICITAÇÃO                                                          Objeto: O presente contrato tem por objeto a locação de equipamentos para coleta de registro eletrônico de ponto por meio da leitura tipo digital biométrica, leitura de código de barra com mecanismo de impressão de comprovantes incluindo a instalação, a configuração e o treinamento de pessoal, com respectivo sistema para o controle diário da frequência dos servidores lotados nas Unidades Regionais e SEDE da Agência Estadual de Defesa Agropecuária do Maranhão – AGED                                                          Processo/Ano: 124483/2020                                                          Contrato/Ano: 59/2021                                                          Dt. Assinatura: 05/10/2021                                                                                                                                                                              Fiscal:                                                          ALEXSANDRA CERQUEIRA DE CARVALHO","109.200,00","05/10/2021","05/10/2022","Detalhar                                                                                                                                                                                                                PDF"
"AGED","Contratada: VITORIA SERVICOS GERAIS E EMPREENDIMENTO LTDA                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: serviços de buffet                                                          Processo/Ano: 158423/2020                                                          Contrato/Ano: 003/2021                                                          Dt. Assinatura: 18/03/2021","21.000,00","18/03/2021","18/03/2022","Detalhar                                                                                                                                                                                                                PDF                                                                                                                                                                                                                                                                                                                                 Aditivos                                                                                                                                                                                                                                                                                          Fechar"
"AGED","Contratada: EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS                                                                                                          Tipo de Contratação: INEXIBILIDADE                                                          Objeto: serviço postal                                                          Processo/Ano: 166293/2020                                                          Contrato/Ano: 9912515707/2021                                                          Dt. Assinatura: 10/12/2021","80.000,00","25/12/2021","25/12/2022","Detalhar                                                                                                                                                                                                                PDF"
"AGED","Contratada: CLARO S/A                                                                                                                                              Tipo de Contratação: LICITAÇÃO                                                          Objeto: Prestação de Serviços Telefônicos                                                          Processo/Ano: 91902/2020                                                          Contrato/Ano: 10/2021                                                          Dt. Assinatura: 31/05/2021","82.500,00","31/05/2021","31/05/2022","Detalhar                                                                                                                                                                                                                PDF                                                                                                                                                                                                                                                                                                                                 Aditivos                                                                                                                                                                                                                                                                                          Fechar"
"AGED","Contratada: EP ENGENHARIA E CONSTRUÇÕES EIRELI                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: manutenção predial                                                          Processo/Ano: 54977/2020                                                          Contrato/Ano: 32/2021                                                          Dt. Assinatura: 25/06/2021","443.997,25","25/06/2021","25/06/2022","Detalhar                                                                                                                                                                                                                PDF                                                                                                                                                                                                                                                                                                                                 Aditivos                                                                                                                                                                                                                                                                                          Fechar"
"AGED","Contratada: TALES CASTRO OLIVEIRA                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: locação de imóvel em Barreirinhas                                                          Processo/Ano: 173837/2020                                                          Contrato/Ano: 001/2021                                                          Dt. Assinatura: 04/01/2021","28.800,00","04/01/2021","04/01/2023","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: C.S. CONSTRUÇÃO E SERVIÇOS EIRELI                                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: Contratação de empresa especializada em serviços de engenharia para a Elaboração de Estudos e dos Projetos Básico e Executivo para implantação de infraestrutura básica, visando a realização de obra futura para a construção de via de acesso ao futuro Terminal Portuário da Independência, na cidade de Alcântara/MA, incluindo: Sondagem do solo, estudos hidrológicos; Levantamento topográfico para projeto executivo de engenharia; Elaboração do projeto geométrico (contendo perfil longitudinal e seções transversais); Elaboração do projeto de pavimentação; Elaboração do projeto de terraplanagem; Elaboração do projeto de drenagem; Elaboração de projeto de iluminação pública; Elaboração do projeto de sinalização horizontal e vertical; Elaboração da caracterização e análise ambiental preliminar; Elaboração de projeto de integração urbanística e paisagística, incluindo confecção de planilha de quantidades e orçamento com o respectivo memorial de cálculo, cadernos de detalhamentos e especificações e memorial descritivo.                                                          Processo/Ano: 145025/2020                                                          Contrato/Ano: 04/2021                                                          Dt. Assinatura: 12/03/2021","292.018,33","12/03/2021","12/03/2022","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: TRAFFICK LINE TRANSP.CONSULTORIA E REP. LTDA.                                                                                                          Tipo de Contratação: DISPENSA                                                          Objeto: Contratação de empresa especializada no transporte de carga (mobiliários, materiais de consumo, materiais de expediente, materiais de limpeza e outros equipamentos) para realização da mudança de sede da AGEM.                                                          Processo/Ano: 138165/2020                                                          Contrato/Ano: 01/2021                                                          Dt. Assinatura: 18/02/2021","12.000,00","18/02/2021","25/02/2021","Detalhar                                                                                                                                                                                                                PDF"
"AGEM","Contratada: ESPACO VERDE CONS E ENGENHARIA LTDA                                                                                                                    Tipo de Contratação: LICITAÇÃO                                                          Objeto: Execução de serviços de engenharia, para requalificação do canteiro no bairro Lima Verde, localizado na zona urbana de Paço do Lumiar, por meio da Agência Executiva Metropolitana (AGEM), conforme de Contrato de Repasse nº 893001/2019/MDR/CAIXA.                                                          Processo/Ano: 100765/2020                                                          Contrato/Ano: 03/2021                                                          Dt. Assinatura: 05/03/2021","210.266,35","05/03/2021","05/02/2022","Detalhar                                                                                                                                                                                                                PDF                                                                                                                                                                                                                                                                                                                                 Aditivos                                                                                                                                                                                                                                                                                          Fechar"
"AGEM","Contratada: PAVIRROL ENGENHARIA EIRELI                                                                                                          Tipo de Contratação: LICITAÇÃO                                                          Objeto: Contratação de empresa de engenharia para execução de obra de pavimentação e drenagem da Estrada do Vinhais, bairro Vinhais IV, na cidade de São Luís/MA, através da Agência Executiva Metropolitana                                                          Processo/Ano: 170037/2020                                                          Contrato/Ano: 21/2021                                                          Dt. Assinatura: 19/07/2021","1.242.407,25","19/07/2021","19/07/2022","Detalhar                                                                                                                                                                                                                PDF                                                                                                                                                                                                                                                                                                                                 Aditivos                                                                                                                                                                                                                                                                                          Fechar"
