CtNumero,NU_ProcessoLicitacao,CtVigenciaInicio,CtVigenciaTermino2,Tempo,OrNome,Credor,ObNome,CtValorTotal,Textbox7,CtValorTotal1
0006/2022,,30/12/2022,30/12/2023,12,IMEQ - 21.0401,09.911.948/0001-73 - LABOR ENGENHARIA E TECNOLOGIA LTDA,OUTROS SERVIÇOS ESPECIALIZADOS,"6.767.935,44",6.906 CONTRATOS,"10.826.765.409,86"
0022/2022,,29/12/2022,28/12/2027,60,SEAD - 19.0001,09.537.092/0001-18 - CORPO DE BOMBEIROS MILITAR DA PARAÍBA,CESSÃO DE USO DE BENS MÓVEIS E IMÓVEIS,,6.906 CONTRATOS,"10.826.765.409,86"
0022/2022,07.000.000516.2022,29/12/2022,29/12/2023,12,SEJEL - 07.0001,02.502.673/0001-75 - WELL CAR COMISSÁRIA DE VEÍCULOS LTDA,LOCAÇÃO DE VEÍCULOS,"45.840,00",6.906 CONTRATOS,"10.826.765.409,86"
0023/2022,07.000.000633.2022,29/12/2022,01/03/2023,3,SEJEL - 07.0001,39.231.645/0001-70 - TR COMERCIO DE PRODUTOS E SERVICOS LTDA,SERVIÇO GRÁFICO/REPROGRÁFICO E DE ENCADERNAÇÃO,"24.515,00",6.906 CONTRATOS,"10.826.765.409,86"
0035/2022,19.204.001048.2022,30/12/2022,30/12/2023,12,CODATA - 19.0401,53.113.791/0001-22 - TOTVS S.A.,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"252.859,25",6.906 CONTRATOS,"10.826.765.409,86"
0035/2022,34.204.952022.2022,29/12/2022,29/08/2024,20,PBGÁS - 34.0401,00.976.914/0001-92 - ENGEAR ENGENHARIA DE AQUECIMENTO E REFRIGERAÇÃO LTDA,OUTROS EVENTOS,"3.774.934,81",6.906 CONTRATOS,"10.826.765.409,86"
0052/2022,21.201.000644.2022,29/12/2022,24/12/2023,12,CINEP - 21.0101,09.323.098/0001-92 - CONSTRUTORA ROCHA CAVALCANTE LTDA,OBRAS,"11.061.502,77",6.906 CONTRATOS,"10.826.765.409,86"
0065/2022,15.000.000067.2022,30/12/2022,30/03/2023,3,PM/PB - 15.0001,07.259.712/0001-79 - BERKANA TECNOLOGIA EM SEGURANÇA LTDA,SERVIÇO ESPECIALIZADO,"13.500,00",6.906 CONTRATOS,"10.826.765.409,86"
0074/2022,,30/12/2022,29/04/2023,4,SEE - 22.0001,72.381.189/0010-01 - DELL COMPUTADORES DO BRASIL LTDA,AQUISIÇÃO DE BENS MÓVEIS,"6.842.009,95",6.906 CONTRATOS,"10.826.765.409,86"
0075/2022,,29/12/2022,25/06/2023,6,SEE - 22.0001,02.251.715/0002-23 - CLASSPAD TECNOLOGIA E NEGOCIOS LTDA,AQUISIÇÃO DE BENS MÓVEIS,"18.509.200,00",6.906 CONTRATOS,"10.826.765.409,86"
0076/2022,22.000.019503.2022,29/12/2022,29/12/2023,12,SEE - 22.0001,09.189.499/0001-00 - COMPANHIA DE PROCESSAMENTO DE DADOS DA PARAIBA CODATA,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"29.126.400,00",6.906 CONTRATOS,"10.826.765.409,86"
0106/2022,25.000.001588.2021,31/12/2022,31/12/2022,0,SES - 25.0001,30.577.619/0001-24 - MARIA ELIZABETH MOURA MORALES CONFECÇÕES EIRELI-ME,MATERIAL DE USO ESPECÍFICO,"228.140,00",6.906 CONTRATOS,"10.826.765.409,86"
