CtNumero,NU_ProcessoLicitacao,CtVigenciaInicio,CtVigenciaTermino2,Tempo,OrNome,Credor,ObNome,CtValorTotal,Textbox7,CtValorTotal1
0010/2020,25.234.000027.2020,30/12/2020,30/06/2021,6,LACEN 25.3701,14.683.310/0001-62 - INDUSLAB PROD. P/ LABORATÓRIO LTDA,MATERIAL DA ÁREA DE SAÚDE,"70.441,40",4.720 CONTRATOS,"8.597.825.332,62"
0011/2020,25.234.000027.2020,30/12/2020,30/06/2021,6,LACEN 25.3701,12.655.453/0001-35 - FORLAB COMÉRCIO DE EQUIPAMENTOS E MATERIAIS DE LABORATÓRIOS EIRELI,MATERIAL DA ÁREA DE SAÚDE,"156.787,50",4.720 CONTRATOS,"8.597.825.332,62"
0015/2020,,30/12/2020,29/12/2025,60,SEAD - 19.0001,01.612.635/0001-02 - PREFEITURA MUNICIPAL DE ASSUNÇÃO,TERMO DE CESSÃO DE USO,,4.720 CONTRATOS,"8.597.825.332,62"
0016/2020,,30/12/2020,05/10/2032,142,SEAD - 19.0001,21.736.498/0001-25 - SECRETARIA DE ESTADO DA AGRICULTURA FAMILIAR E DESENVOLVIMENTO DO SEMIÁRIDO ,CESSÃO DE USO DE BENS MÓVEIS E IMÓVEIS,,4.720 CONTRATOS,"8.597.825.332,62"
0017/2020,,30/12/2020,05/10/2032,142,SEAD - 19.0001,09.188.376/0001-46 - DEPARTAMENTO ESTADUAL DE TRÂNSITO - DETRAN,CESSÃO DE USO DE BENS MÓVEIS E IMÓVEIS,,4.720 CONTRATOS,"8.597.825.332,62"
0018/2020,,31/12/2020,30/12/2025,60,SEAD - 19.0001,09.537.092/0001-18 - CORPO DE BOMBEIRO MILITAR DA PARAÍBA,CESSÃO DE USO DE BENS MÓVEIS E IMÓVEIS,,4.720 CONTRATOS,"8.597.825.332,62"
0025/2020,329019000422020,30/12/2020,30/06/2021,6,SEDAP - 32.0001,06.049.929/0001-91 - ATACADÃO DO CRIADOR - COMÉRCIO INDÚSTRIA AGROPECUÁRIA E TRANSPORTES LTDA,"SEMENTES, MUDAS E PLANTAS","976.720,00",4.720 CONTRATOS,"8.597.825.332,62"
0026/2020,329019000422020,30/12/2020,30/06/2021,6,SEDAP - 32.0001,09.141.358/0002-90 - SEMENTES AGROPECUÁRIA DE OURO LTDA,"SEMENTES, MUDAS E PLANTAS","1.548.809,76",4.720 CONTRATOS,"8.597.825.332,62"
0027/2020,329019000422020,30/12/2020,30/06/2021,6,SEDAP - 32.0001,04.207.672/0007-19 - SANTANA AGROINDUSTRIAL LTDA,"SEMENTES, MUDAS E PLANTAS","2.819.750,00",4.720 CONTRATOS,"8.597.825.332,62"
0028/2020,329019000422020,30/12/2020,30/06/2021,6,SEDAP - 32.0001,13.758.821/0001-33 - SUPREMA COMÉRCIO E SERVIÇOS EIRELI,"SEMENTES, MUDAS E PLANTAS","456.390,00",4.720 CONTRATOS,"8.597.825.332,62"
0029/2020,329019000422020,30/12/2020,30/06/2021,6,SEDAP - 32.0001,08.063.813/0001-32 - NICOLA VICENZO DI SALVO,"SEMENTES, MUDAS E PLANTAS","711.857,10",4.720 CONTRATOS,"8.597.825.332,62"
0053/2020,,30/12/2020,30/03/2021,3,SEE - 22.0001,08.999.674/0001-53 - PREFEITURA MUNICIPAL DE SOUSA,DOAÇÕES,,4.720 CONTRATOS,"8.597.825.332,62"
0074/2020,19.000.003332.2020,31/12/2020,30/12/2023,36,SEAD - 19.0001,27.595.780/0001-16 - CS BRASIL FROTAS LTDA.,LOCAÇÃO DE VEÍCULOS,"30.868.294,38",4.720 CONTRATOS,"8.597.825.332,62"
0075/2020,25.215.000022.2020,30/12/2020,27/06/2021,6,HEETSHL - 25.1501,02.199.904/0001-13 - TELASAT LOCADORA DE TELÕES LTDA ME,LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS,"21.780,00",4.720 CONTRATOS,"8.597.825.332,62"
0078/2020,30.000.417285.2020,30/12/2020,29/12/2021,12,SEAD - 19.0001,086.009.144-93 - KAMILLA KARLA PEREIRA LIMA NORONHA,LOCAÇÃO DE BENS IMÓVEIS,"24.840,00",4.720 CONTRATOS,"8.597.825.332,62"
0079/2020,,30/12/2020,30/03/2021,3,SEE - 22.0001,08.999.674/0001-53 - PREFEITURA MUNICIPAL DE SOUSA,DOAÇÕES,,4.720 CONTRATOS,"8.597.825.332,62"
0083/2020,25.215.000047.2020,30/12/2020,27/06/2021,6,HEETSHL - 25.1501,09.502.112/0001-15 - ELENET SERVIÇOS TÉCNICOS LTDA,MANUTENÇÃO E RECUPERAÇÃO,"37.800,00",4.720 CONTRATOS,"8.597.825.332,62"
0100/2020,,30/12/2020,30/03/2021,3,SEE - 22.0001,09.073.628/0001-91 - PREFEITURA MUNICIPAL DE MONTEIRO,DOAÇÕES,,4.720 CONTRATOS,"8.597.825.332,62"
0255/2020,,30/12/2020,25/01/2022,13,CAGEPA - 31.0601,08.846.230/0001-88 - ASSOCIAÇÃO TÉCNICO CIENTÍFICA ERNESTO LUIZ DE OLIVEIRA JÚNIOR (ATECEL),SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"52.000,00",4.720 CONTRATOS,"8.597.825.332,62"
0270/2020,31.206.001010.2020,30/12/2020,30/03/2021,3,CAGEPA - 31.0601,17.838.838/0001-51 - PROTEC COMÉRCIO E SERVIÇOS LTDA,MATERIAL DE USO ESPECÍFICO,"51.040,00",4.720 CONTRATOS,"8.597.825.332,62"
0009/2020,16.102.062020.2020,29/12/2020,30/03/2021,3,SEAFDS - 16.0001,18.044.711/0001-23 - ANTONIO ALVES AMARAL JUNIOR ME,MATERIAL DE CONSUMO,"216.331,90",4.720 CONTRATOS,"8.597.825.332,62"
0009/2020,25.234.000027.2020,23/12/2020,23/06/2021,6,LACEN 25.3701,04.666.364/0001-66 - CDH - CENTRO DE DIAGNÓSTICO HUMANO LTDA,MATERIAL DA ÁREA DE SAÚDE,"360,00",4.720 CONTRATOS,"8.597.825.332,62"
0017/2020,25.216.001960.2020,23/12/2020,23/06/2021,6,HRUECG - 25.1601,02.503.493/0001-08 -  CENTRO DE DIAGNÓSTICO POR IMAGEM DE CAMPINA GRANDE - CAMPIMAGEM,SERVIÇO ESPECIALIZADO NA ÁREA DE SAÚDE,"413.910,00",4.720 CONTRATOS,"8.597.825.332,62"
0026/2020,15.201.001763.2020,23/12/2020,31/12/2020,0,IHGER - 15.0101,12.040.718/0001-90 - GRADUAL COMÉRCIO E SERVIÇOS EIRELI,MATERIAL MÉDICO-HOSPITALAR,"419.400,00",4.720 CONTRATOS,"8.597.825.332,62"
0036/2020,23.901.000054.2020,28/12/2020,31/12/2020,0,FUNESBOM - 57.0001 ,12.040.718/0001-90 - GRADUAL COMERCIO E SERVICOS,OUTRAS AQUISIÇÕES DE BENS MÓVEIS,"12.800,00",4.720 CONTRATOS,"8.597.825.332,62"
0043/2020,23.901.000079.2020,29/12/2020,29/12/2022,24,FUNESBOM - 57.0001 ,03.984.954/0001-74 - MN TECNOLOGIA E TREINAMENTO LTDA - EPP,OUTROS SERVIÇOS ESPECIALIZADOS,"12.610,00",4.720 CONTRATOS,"8.597.825.332,62"
0051/2020,23.901.000100.2020,23/12/2020,23/12/2021,12,FUNESBOM - 57.0001 ,15.409.799/0001-41 - ALX CONSTRUÇÕES LTDA - EPP,RECUPERAÇÃO E MANUTENÇÃO DE BENS IMÓVEIS,"255.006,71",4.720 CONTRATOS,"8.597.825.332,62"
0081/2020,30.000.259377.2020,29/12/2020,28/12/2022,24,SEAD - 19.0001,068.309.314-28 - BERTHIENE MEDEIROS SALVADOR ROBERTO,LOCAÇÃO DE IMÓVEL URBANO,"53.520,00",4.720 CONTRATOS,"8.597.825.332,62"
0271/2020,31.206.001010.2020,30/12/2020,30/03/2021,3,CAGEPA - 31.0601,32.072.759/0001-76 - NOVA CONEXÃO COMERCIO DE MATERIAIS DE CONSTRUÇÃO EIRELI,MATERIAL DE USO ESPECÍFICO,"61.063,98",4.720 CONTRATOS,"8.597.825.332,62"
0276/2020,31.206.018718.2020,30/12/2020,30/12/2021,12,CAGEPA - 31.0601,00.946.219/0001-88 - LAO INDUSTRIA LTDA,MÁQUINAS E EQUIPAMENTOS,"1.178.500,00",4.720 CONTRATOS,"8.597.825.332,62"
0277/2020,31.206.018718.2020,30/12/2020,30/12/2021,12,CAGEPA - 31.0601,06.861.118/0001-90 - IGOR FERNANDO SIMIDAMORE VICIANA (HIDROMETER EQUIPAMENTOS INDUSTRIAIS),MATERIAL DE USO ESPECÍFICO,"2.601.427,50",4.720 CONTRATOS,"8.597.825.332,62"
0278/2020,31.206.018718.2020,30/12/2020,30/12/2021,12,CAGEPA - 31.0601,22.538.071/0001-85 - SANESOLUTI COMÉRCIO DE INSTRUMENTAÇÃO E CONTROLE LTDA - EPP,MATERIAL DE USO ESPECÍFICO,"466.370,00",4.720 CONTRATOS,"8.597.825.332,62"
0282/2020,31.206.018718.2020,30/12/2020,30/05/2022,17,CAGEPA - 31.0601,21.581.509/0001-45 - ELSTER MEDIÇÃO DE ÁGUA LTDA ,MÁQUINAS E EQUIPAMENTOS,"14.955.300,00",4.720 CONTRATOS,"8.597.825.332,62"
0283/2020,31.206.018718.2020,30/12/2020,30/12/2021,12,CAGEPA - 31.0601,08.026.075/0001-53 -  SAGA MEDIÇÃO LTDA,MÁQUINAS E EQUIPAMENTOS,"1.128.000,00",4.720 CONTRATOS,"8.597.825.332,62"
0292/2020,31.206.029158.2020,30/12/2020,30/06/2021,6,CAGEPA - 31.0601,14.752.034/0001-47 - CONSTRUTORA CEARÁ MENDES LTDA ,SERVIÇO ESPECIALIZADO NA ÁREA DE ENGENHARIA,"3.034.352,92",4.720 CONTRATOS,"8.597.825.332,62"
