CtNumero,NU_ProcessoLicitacao,CtVigenciaInicio,CtVigenciaTermino2,Tempo,OrNome,Credor,ObNome,CtValorTotal,Textbox7,CtValorTotal1
0003/2019,,27/12/2019,26/03/2020,3,SEE - 22.0001,08.927.105/0001-00 - PREFEITURA MUNICIPAL DE ARARUNA,ALIENAÇÃO DE BENS,,4.730 CONTRATOS,"9.425.152.937,90"
0006/2019,16.000.000026.2019,26/12/2019,26/09/2020,9,SEAFDS - 16.0001,16.491.941/0001-05 - JORDÃO BRUNO DE CARVALHO PEREIRA- ME,AQUISIÇÃO DE BENS MÓVEIS,"149.780,96",4.730 CONTRATOS,"9.425.152.937,90"
0007/2019,16.000.000024.2019,20/12/2019,20/06/2020,6,SEAFDS - 16.0001,17.792.470/0001-38 - MAIS TRUCK COMÉRCIO DE CAMINHÕES LTDA,AQUISIÇÃO DE VEÍCULOS,"200.000,00",4.730 CONTRATOS,"9.425.152.937,90"
0007/2020,19.000.002793.2018,26/12/2019,31/12/2020,12,SES - 25.0001,06.242.018/0001-86 - EXPANSÃO COMÉRCIO DE PRODUTOS DE DIAGNÓSTICOS LTDA,MATERIAL DA ÁREA DE SAÚDE,"230.256,00",4.730 CONTRATOS,"9.425.152.937,90"
0008/2019,19.000.027179.2018,21/12/2019,31/12/2019,0,SES CDC 25.3401,12.845.031/0001-22 - MARIA TEREZA PEREIRA CARVALHO,MATERIAL DE CONSUMO,"5.000,00",4.730 CONTRATOS,"9.425.152.937,90"
0034/2019,31.201.004341.2019,27/12/2019,15/01/2022,25,DER - 31.0101,13.493.236/0001-59 - CONSTRUTORA BRTEC LTDA-EPP,OUTRAS OBRAS DE AMPLIAÇÃO E CONSERVAÇÃO,"1.924.892,60",4.730 CONTRATOS,"9.425.152.937,90"
0035/2019,31.201.005705.2019,27/12/2019,22/10/2020,10,DER - 31.0101,05.696.802/0001-00 - CONSTRUTORA E REFLORESTADORA RIO PEDREIRA LTDA,OBRAS,"9.864.145,88",4.730 CONTRATOS,"9.425.152.937,90"
0056/2019,20.000.107988.2019,27/12/2019,26/12/2021,24,SEFAZ - 20.0001,07.108.509/0002-82 - SCHNEIDER ELECTRIC IT BRASIL INDÚSTRIA E COMÉRCIO DE EQUIP. ELETRÔNICOS LTDA ,SERVIÇO ESPECIALIZADO NA ÁREA DE INFORMÁTICA,"951.000,00",4.730 CONTRATOS,"9.425.152.937,90"
0061/2019,22.000.016514.2019,27/12/2019,03/02/2022,26,SEE - 22.0001,01.932.559/0001-12 - GRAN VIA AGENCIA DE VIAGENS E TURISMO LTDA - EPP,SERVIÇO DE DESLOCAMENTO,"820.000,00",4.730 CONTRATOS,"9.425.152.937,90"
0062/2019,22.000.016514.2019,27/12/2019,07/02/2021,14,SEE - 22.0001,96.766.555/0001-18 - GRIFFE VIAGENS E TURISMO EIRELI,SERVIÇO DE DESLOCAMENTO,"5.095.000,00",4.730 CONTRATOS,"9.425.152.937,90"
