﻿Licitacoes2022
Nº da Licitação;Modalidade;Situação;Órgão;Tipo;Objeto;Edital;Total Proposto;Total Homologado;
"52022/2022";"PREGÃO";"DIVULGADO";"POLÍCIA CIVIL DO DISTRITO FEDERAL";"SERVIÇO";"OBJETO: PREGÃO ELETRÔNICO -  CONTRATAÇÃO DE CLÍNICA CREDENCIADA JUNTO À AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL COM OBJETIVO DE EXECUÇÃO DE INSPEÇÕES DE SAÚDE DE REVALIDAÇÃO PARA VERIFICAÇÃO DO ESTADO DE SAÚDE OU EM GRAU DE RECURSO, PÓS-ACIDENTE AERONÁUTICO OU PÓS-INCIDENTE AERONÁUTICO GRAVE DE PILOTOS DA POLÍCIA CIVIL DO DISTRITO FEDERAL";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926015&modprp=5&numprp=520222022";18.630,00;18.624,25;
"309/2022";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  SOLICITAÇÃO DE REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DOS PRODUTOS: FÓRMULA PEDIÁTRICA PARA NUTRIÇÃO ENTERAL E ORAL  E OUTROS  , PARA ATENDER ÀS DEMANDAS DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=3092022";48.798.914,87;20.785.206,16;
"307/2022";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO, EM SISTEMA DE REGISTRO DE PREÇOS, DE MEDICAMENTOS NÃO PADRONIZADOS, PARA ATENDIMENTO A DECISÕES JUDICIAIS DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=3072022";11.360.553,03;11.324.784,87;
"306/2022";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  TRATA-SE DE SOLICITAÇÃO DE REGISTRO DE PREÇOS VISANDO AQUISIÇÃO DE ITENS DO LABORATÓRIO CENTRAL (LACEN): CONJUNTO PARA DIAGNÓSTICO RÁPIDO QUALITATIVO DE TUBERCULOSE   E OUTROS, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE SAÚDE - SES/DF, CONFORME TERMO DE REFERÊNCIA (92877796).";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=3062022";871.140,00;417.012,60;
"304/2022";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  SOLICITAÇÃO DE REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MEDICAMENTO ACICLOVIR E OUTROS, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=3042022";20.767.911,77;6.551.952,00;
"303/2022";"PREGÃO";"EVENTO DE ALTERAÇÃO DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  SOLICITAÇÃO DE REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE EQUIPAMENTO: BISTURI ELÉTRICO, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=3032022";1.792.000,00;873.600,00;
"302/2022";"PREGÃO";"EVENTO DE ALTERAÇÃO DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE ITENS DO LABORATÓRIO CENTRAL (LACEN):  MATRIZ POLIMÉRICA PARA IONIZAÇÃO DE PROTEÍNAS RIBOSSOMAIS   E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=3022022";1.539.080,40;1.332.482,36;
"301/2022";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  SOLICITAÇÃO DE REGISTRO DE PREÇOS PARA EVENTUAL AQUISIÇÃO DE MATERIAL ODONTOLÓGICO BROCA BAIXA ROTAÇÃO  E OUTROS, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=3012022";3.975,10;2.669,89;
"299/2022";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE MEDICAMENTOS NÃO PADRONIZADOS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDIMENTO A DECISÕES JUDICIAIS, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=2992022";1.969.722,90;1.957.234,86;
"298/2022";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR OBTURADOR DE COLOSTOMIA ADULTO 1 PEÇA COMPRIMENTO 45 MM, NÃO ESTÉRIL  E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER ÀS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=2982022";4.798.261,75;2.385.177,64;
