﻿Licitacoes2019
Nº da Licitação;Modalidade;Situação;Órgão;Tipo;Objeto;Edital;Total Proposto;Total Homologado;
"306/2019";"PREGÃO";"DIVULGADO";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF CAESB";"SERVIÇO";"OBJETO: PREGÃO ELETRÔNICO -  SERVIÇO DE FORNECIMENTO AUTOMÁTICO DE CAFÉ, CHÁ E OUTRAS BEBIDAS QUENTES, NAS DEPENDÊNCIAS DA COMPANHIA DE SANEAMENTO AMBIENTAL DO DF, COMPREENDENDO O USO DE TODOS OS EQUIPAMENTOS NECESSÁRIOS, INSUMOS PARA O PREPARO DAS BEBIDAS, ALÉM DA MANUTENÇÃO E HIGIENIZAÇÃO DAS MÁQUINAS.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=974200&modprp=5&numprp=3062019";480.000,00;91.200,00;
"305/2019";"PREGÃO";"DIVULGADO";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF CAESB";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS PLÁSTICOS, RÍGIDOS E FLEXÍVEIS   PEAD, PARA REDES DE ÁGUA E ESGOTO (ADAPTADOR DE COMPRESSÃO, ANEL DE VEDAÇÃO, CAP, COLAR TOMADA, CURVA, JOELHO, LUVA, TÊ, TUBO E OUTROS).";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=974200&modprp=5&numprp=3052019";538.438,43;333.474,76;
"304/2019";"PREGÃO";"DIVULGADO";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF CAESB";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE PEÇAS E ACESSÓRIOS ORIGINAIS/GENUÍNAS PARA EQUIPAMENTOS JATO DE ALTA PRESSÃO E VÁCUO-SUCÇÃO DE FABRICAÇÃO SALTO VÁCUO";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=974200&modprp=5&numprp=3042019";1,00;460.104,26;
"303/2019";"PREGÃO";"DIVULGADO";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF CAESB";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS PLÁSTICOS, RÍGIDOS E FLEXÍVEIS, PARA REDES DE ÁGUA E ESGOTO, PEAD, (TUBO PE 80 DE 63MM, TUBO PE 80 DE 315MM, TUBO PE 100 DE 500MM, CURVA 90 E OUTROS).";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=974200&modprp=5&numprp=3032019";1.087.822,03;577.719,48;
"301/2019";"PREGÃO";"DIVULGADO";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF CAESB";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  REGISTRO DE PREÇOS PARA AQUISIÇÃO DE EPI- EQUIPAMENTO DE PROTEÇÃO E SEGURANÇA INDIVIDUAL (AVENTAIS, BONÉS, BOTAS, CAMISAS, CAPACETES, COTURNOS, LENTES, LOÇÕES REPELENTES, LUVAS, MÁSCARAS, DENTRE OUTROS).";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=974200&modprp=5&numprp=3012019";24.642.686,40;232.789,50;
"300/2019";"PREGÃO";"DIVULGADO";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF CAESB";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE MATERIAIS DE CONSUMO DE USINAGEM (MANGUEIRA DE OXIGÊNIO E ACETILENO, PAQUÍMETRO ANALÓGICO UNIVERSAL, SUPORTE PARA TORNEAMENTO EXTERNO A DIREITA, INSERTO PARA TORNEAMENTO EXTERNO, E OUTROS).";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=974200&modprp=5&numprp=3002019";180.000,00;44.560,00;
"299/2019";"PREGÃO";"DIVULGADO";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF CAESB";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE COPO DE ENVASAMENTO E CAIXA DE PAPELÃO (CAIXA PAPELÃO REFORÇADO E COPO PLÁSTICO  TRANSPARENTE PARA ENVASAMENTO DE ÁGUA).";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=974200&modprp=5&numprp=2992019";194.530,00;187.530,00;
"298/2019";"PREGÃO";"DIVULGADO";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF CAESB";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  REGISTRO DE PREÇOS PARA A AQUISIÇÃO DE BRITA GRADUADA E TIJOLO DE VEDAÇÃO (BRITA GRADUADA   BSG, BRITA N.º 1 E TIJOLO DE VEDAÇÃO 9X19X19CM).";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=974200&modprp=5&numprp=2982019";1.020.080,00;522.314,00;
"296/2019";"PREGÃO";"EVENTO DE REABERTURA DE PRAZO DIVULGADO";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF CAESB";"SERVIÇO";"OBJETO: PREGÃO ELETRÔNICO -  CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS DE NATUREZA CONTINUADA DE TRANSPORTE INDIVIDUAL PRIVADO DE PASSAGEIROS POR MEIO DE EMISSÃO DE VOUCHERS E BASEADO EM TECNOLOGIA DE COMUNICAÇÃO EM REDE   STIP QUE ESTIVEREM EM OPERAÇÃO NO DISTRITO FEDERAL (TAXI CONVENCIONAL UBER, CABIFY ETC.), POR DEMANDA, PARA TRANSPORTE DE EMPREGADOS E COLABORADORES DA CAESB NO DISTRITO FEDERAL E ENTORNO.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=974200&modprp=5&numprp=2962019";0,01;48.000,00;
"295/2019";"PREGÃO";"DIVULGADO";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF CAESB";"SERVIÇO";"OBJETO: PREGÃO ELETRÔNICO -  SERVIÇO DE SUBSTITUIÇÃO DA COBERTURA DO GALPÃO DE PRODUTOS QUÍMICOS";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=974200&modprp=5&numprp=2952019";198.769,77;109.966,71;
"294/2019";"PREGÃO";"DIVULGADO";"COMPANHIA DE SANEAMENTO AMBIENTAL DO DF CAESB";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  REGISTRO DE PREÇOS PARA AQUISIÇÃO DE VÁLVULAS EM FERRO FUNDIDO.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=974200&modprp=5&numprp=2942019";676.510,00;511.991,58;
