﻿Licitacoes2020
Nº da Licitação;Modalidade;Situação;Órgão;Tipo;Objeto;Edital;Total Proposto;Total Homologado;
"538/2020";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO EM SISTEMA DE REGISTRO DE PREÇOS DE MATERIAL DE ÓRTESES, PRÓTESES E MATERIAIS ESPECIAIS (OPME)   CÂNULA PARA TRAQUEOSTOMIA E OUTROS, CONTEMPLADO E NÃO CONTEMPLADO NA TABELA SUS DE OPME DO MINISTÉRIO DA SAÚDE, PARA ATENDER A DEMANDA DA UNIDADE DE  CIRURGIA GERAL DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=5382020";129.149,56;40.941,63;
"537/2020";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO EM SISTEMA DE REGISTRO DE PREÇOS DE MATERIAL DE ÓRTESES, PRÓTESES E MATERIAIS ESPECIAIS (OPME) - HASTE FLEXÍVEL INFANTIL, CONTEMPLADOS NA TABELA SUS DO MINISTÉRIO DA SAÚDE, PARA ATENDER A DEMANDA DA UNIDADE DE TRAUMATOLOGIA E ORTOPEDIA DA REDE SES/DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=5372020";96.000,00;49.920,00;
"536/2020";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO EM SISTEMA DE REGISTRO DE PREÇOS DE MATERIAL DE ÓRTESES, PRÓTESES E MATERIAIS ESPECIAIS (OPME)   AGULHAS PARA MIELOGRAMA E BIÓPSIA DE MEDULA ÓSSEA, NÃO  CONTEMPLADO NA TABELA SUS DE OPME DO MINISTÉRIO DA SAÚDE, PARA ATENDER A DEMANDA DA UNIDADE DE HEMATOLOGIA, DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=5362020";82.900,00;34.983,22;
"534/2020";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO REGULAR DO MEDICAMENTO BETAMETASONA E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=5342020";9.341.023,00;7.536.448,62;
"533/2020";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR CERA PARA OSSO E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=5332020";84.556,56;24.798,72;
"532/2020";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO REGULAR DO MEDICAMENTO BROMOPRIDA E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=5322020";7.148.923,46;6.329.003,54;
"531/2020";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO EM SISTEMA DE REGISTRO DE PREÇOS DE MATERIAL DE ÓRTESES, PRÓTESES E MATERIAIS ESPECIAIS (OPME) - PLACAS BLOQUEADAS, NÃO CONTEMPLADOS NA TABELA SUS DO MINISTÉRIO DA SAÚDE, PARA ATENDER A DEMANDA DA UNIDADE DE TRAUMATOLOGIA E ORTOPEDIA DA REDE SES/DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=5312020";4.659.860,40;3.477.597,00;
"530/2020";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO REGULAR DO MEDICAMENTO ATORVASTATINA E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE   DF,  CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=5302020";1.948.822,67;811.321,80;
"529/2020";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO EM SISTEMA DE REGISTRO DE PREÇOS DE MATERIAL DE ÓRTESES, PRÓTESES E MATERIAIS ESPECIAIS (OPME)   MATERIAIS PARA USO NA OFICINA DE ÓRTESES E PRÓTESES (GRUPO 2), NÃO CONTEMPLADOS NA TABELA SUS DE OPME DO MINISTÉRIO DA SAÚDE, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=5292020";97.776,00;43.760,64;
"528/2020";"PREGÃO";"DIVULGADO";"SECRETARIA DE ESTADO DE SAÚDE - GDF";"MATERIAL";"OBJETO: PREGÃO ELETRÔNICO -  AQUISIÇÃO DE MATERIAL MÉDICO HOSPITALAR AGULHA PARA CANETA DE INSULINA E OUTROS, EM SISTEMA DE REGISTRO DE PREÇOS, PARA ATENDER A DEMANDA DA SECRETARIA DE SAÚDE   DF, CONFORME ESPECIFICAÇÕES E QUANTITATIVOS CONSTANTES NO ANEXO I DO EDITAL.";"http://www.comprasnet.gov.br/ConsultaLicitacoes/download/download_editais_detalhe.asp?coduasg=926119&modprp=5&numprp=5282020";1.884.795,17;1.137.433,66;
